LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,default,total_bill,total_payment,debt_ratio,avg_delay,payment_ratio
20000,2,2,1,24,2,2,-1,3913,3102,689,0,689,0,1,7704,689,0.3852,1,0.08943406023
120000,2,2,2,26,-1,2,0,2682,1725,2682,0,1000,1000,1,7089,2000,0.059075,0.3333333333,0.2821272394
90000,2,2,2,34,0,0,0,29239,14027,13559,1518,1500,1000,0,56825,4018,0.6313888889,0,0.070708315
50000,2,2,1,37,0,0,0,46990,48233,49291,2000,2019,1200,0,144514,5219,2.89028,0,0.03611414811
50000,1,2,1,57,-1,0,-1,8617,5670,35835,2000,36681,10000,0,50122,48681,1.00244,-0.6666666667,0.9712501496
50000,1,1,2,37,0,0,0,64400,57069,57608,2500,1815,657,0,179077,4972,3.58154,0,0.02776459288
500000,1,1,2,29,0,0,0,350110.68,337495.28,325030.39,55000,40000,38000,0,1012636.35,133000,2.0252727,0,0.1313403375
100000,2,2,2,23,0,-1,-1,11876,380,601,380,601,0,0,12857,981,0.12857,-0.6666666667,0.07630084779
140000,2,3,1,28,0,0,2,11285,14096,12108,3329,0,432,0,37489,3761,0.2677785714,0.6666666667,0.1003227613
20000,1,3,2,35,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,-2,0
200000,2,3,2,34,0,0,2,11073,9787,5535,2306,12,50,0,26395,2368,0.131975,0.6666666667,0.08971396098
260000,2,1,2,51,-1,-1,-1,12261,21670,9966,21818,9966,8583,0,43897,40367,0.1688346154,-1,0.9195844819
630000,2,2,2,41,-1,0,-1,12137,6500,6500,1000,6500,6500,0,25137,14000,0.0399,-0.6666666667,0.5569479254
70000,1,2,2,30,1,2,2,65802,67369,65701,3200,0,3000,1,198872,6200,2.841028571,1.666666667,0.03117583169
250000,1,1,2,29,0,0,0,70887,67060,63561,3000,3000,3000,0,201508,9000,0.806032,0,0.04466323918
50000,2,3,3,23,1,2,0,50614,29173,28116,0,1500,1100,0,107903,2600,2.15806,1,0.0240957156
20000,1,1,2,24,0,0,2,15376,18010,17428,3200,0,1500,1,50814,4700,2.5407,0.6666666667,0.09249419451
320000,1,1,1,49,0,0,0,253286,246536,194663,10358,10000,70000,0,694485,90358,2.170265625,0,0.1301079217
360000,2,1,1,49,1,-2,-2,0,0,0,0,0,0,0,0,0,0,-1,0
180000,2,1,2,29,1,-2,-2,0,0,0,0,0,0,0,0,0,0,-1,0
130000,2,3,2,39,0,0,0,38358,27688,24489,3000,1537,1000,0,90535,5537,0.6964230769,0,0.06115866792
120000,2,2,1,39,-1,-1,-1,316,316,316,316,316,0,1,948,632,0.0079,-1,0.6666666667
70000,2,2,2,26,2,0,0,41087,42445,45020,2007,3582,0,1,128552,5589,1.836457143,0.6666666667,0.04347656979
450000,2,1,1,40,-2,-2,-2,5512,19420,1473,19428,1473,560,1,26405,21461,0.05867777778,-2,0.8127627343
90000,1,1,2,23,0,0,0,4744,7070,0,5757,0,5398,0,11814,11155,0.1312666667,0,0.9442187235
50000,1,3,2,23,0,0,0,47620,41810,36023,1973,1426,1001,0,125453,4400,2.50906,0,0.03507289583
60000,1,1,2,27,1,-2,-1,-81,-200,259,0,1000,0,1,-22,1000,-0.0003666666667,-0.6666666667,0
50000,2,3,2,30,0,0,0,22541,16138,17163,1300,1300,1000,0,55842,3600,1.11684,0,0.06446760503
50000,2,3,1,47,-1,-1,-1,650,3415,3416,3415,3421,2044,0,7481,8880,0.14962,-1,1.187007085
50000,1,1,2,26,0,0,0,15329,16575,17496,1500,1500,1000,0,49400,4000,0.988,0,0.08097165992
230000,2,1,2,27,-1,-1,-1,16646,17265,13266,17270,13281,15339,0,47177,45890,0.2051173913,-1,0.9727197575
50000,1,2,2,33,2,0,0,30518,29618,22102,1718,1500,1000,1,82238,4218,1.64476,0.6666666667,0.05129015783
100000,1,1,2,32,0,0,0,93036,84071,82880,3023,3511,3302,0,259987,9836,2.59987,0,0.03783266086
500000,2,2,1,54,-2,-2,-2,10929,4152,22722,4152,22827,7521,0,37803,34500,0.075606,-2,0.9126259821
500000,1,1,1,58,-2,-2,-2,13709,5006,31130,5006,31178,3180,0,49845,39364,0.09969,-2,0.7897281573
160000,1,1,2,30,-1,-1,-2,30265,-131,-200,131,396,396,0,29934,923,0.1870875,-1.333333333,0.03083450257
280000,1,2,1,40,0,0,0,186503,181328,180422,8026,8060,6300,0,548253,22386,1.958046429,0,0.04083151392
60000,2,2,2,22,0,0,0,15054,9806,11068,1500,1518,2043,0,35928,5061,0.5988,0,0.1408650635
50000,1,1,2,25,1,-1,-1,0,780,0,780,0,0,1,780,780,0.0156,-0.3333333333,1
280000,1,1,2,31,-1,-1,2,498,9075,4641,9075,0,9976,0,14214,19051,0.05076428571,0,1.340298297
360000,1,1,2,33,0,0,0,218668,221296,206895,10000,7000,6000,0,646859,23000,1.796830556,0,0.03555643502
70000,2,1,2,25,0,0,0,67521,66999,63949,3000,4500,4042,0,198469,11542,2.835271429,0,0.05815517789
10000,1,2,2,22,0,0,0,1877,3184,6003,1500,2927,1000,0,11064,5427,1.1064,0,0.4905097614
140000,2,2,1,37,0,0,0,59504,61544,62925,3000,3000,3000,0,183973,9000,1.314092857,0,0.04892022199
40000,2,1,2,30,0,0,0,18927,21295,25921,3000,5000,0,0,66143,8000,1.653575,0,0.1209500627
210000,1,1,2,29,-2,-2,-2,0,0,0,0,0,0,1,0,0,0,-2,0
20000,2,1,2,22,0,0,2,14028,16484,15800,3000,0,16741,1,46312,19741,2.3156,0.6666666667,0.4262610123
150000,2,4,2,46,0,0,-1,4463,3034,1170,1013,1170,0,1,8667,2183,0.05778,-0.3333333333,0.2518749279
380000,1,2,2,32,-1,-1,-1,22401,21540,15134,21540,15138,24677,0,59075,61355,0.1554605263,-1,1.038595006
20000,1,1,2,24,0,0,0,17447,18479,19476,1318,1315,704,0,55402,3337,2.7701,0,0.06023248258
70000,1,3,2,42,1,2,2,37042,36171,38355,0,3100,2000,1,111568,5100,1.593828571,1.666666667,0.04571203212
100000,2,3,3,43,0,0,0,61559,51163,43824,2000,1606,1500,0,156546,5106,1.56546,0,0.03261661109
310000,2,2,1,49,-2,-2,-2,13465,7867,7600,7875,7600,11185,0,28932,26660,0.09332903226,-2,0.9214710355
180000,2,1,2,25,1,2,0,41402,41742,42758,1300,2010,1762,0,125902,5072,0.6994555556,1,0.04028530127
150000,2,1,2,29,2,0,0,46224,34993,31434,1600,1718,1049,0,112651,4367,0.7510066667,0.6666666667,0.03876574553
500000,2,1,1,45,-2,-2,-2,1905,3640,162,3640,162,0,0,5707,3802,0.011414,-2,0.6661994042
180000,2,3,1,34,0,0,0,16386,15793,8441,8500,1500,7500,0,40620,17500,0.2256666667,0,0.430822255
180000,2,2,1,34,0,0,0,175886,173440,172308,8083,7296,5253,0,521634,20632,2.897966667,0,0.03955263652
200000,2,1,2,34,-1,3,2,1587,1098,782,0,0,700,0,3467,700,0.017335,1.333333333,0.2019036631
400000,2,2,1,29,0,0,0,350110.68,337495.28,325030.39,17000,15029,30000,0,1012636.35,62029,2.531590875,0,0.06125496088
500000,2,3,1,28,0,0,0,22848,23638,18878,1516,1300,1000,1,65364,3816,0.130728,0,0.05838076005
70000,1,2,1,39,0,0,0,70800,72060,69938,4025,2095,1000,0,212798,7120,3.039971429,0,0.03345896108
50000,1,1,2,29,2,2,2,24987,24300,26591,0,2700,0,1,75878,2700,1.51756,2,0.03558343657
50000,2,2,1,46,0,0,0,28718,29166,0,1000,0,0,1,57884,1000,1.15768,0,0.01727593117
130000,2,2,1,51,-1,-1,-2,99,0,0,0,0,0,0,99,0,0.0007615384615,-1.333333333,0
200000,1,1,1,57,-2,-2,-2,152519,148751,144076,0,0,8222,1,445346,8222,2.22673,-2,0.01846204973
10000,1,2,1,56,2,2,2,2097,4193,3978,2300,0,150,1,10268,2450,1.0268,2,0.2386053759
210000,2,1,2,30,2,-1,-1,300,300,1159,300,1159,2280,0,1759,3739,0.008376190476,0,2.125639568
130000,2,3,2,29,1,-2,-2,-81,-200,-200,0,0,20161,0,-481,20161,-0.0037,-1,0
20000,1,4,2,22,2,0,0,18565,17204,17285,0,1200,1000,0,53054,2200,2.6527,0.6666666667,0.04146718438
80000,1,1,2,31,-1,-1,-1,780,0,390,0,390,390,0,1170,780,0.014625,-1,0.6666666667
320000,1,2,2,29,2,2,2,58267,59246,60184,2500,2500,0,1,177697,5000,0.555303125,2,0.02813778511
200000,2,2,1,32,-1,-1,-1,9076,5787,-200,5818,15,9102,0,14663,14935,0.073315,-1,1.018550092
290000,2,1,2,37,1,-2,-1,0,0,3155,0,3155,0,0,3155,3155,0.01087931034,-0.6666666667,1
